AkbarhArreola,155.0,70.0,77,22.0,8.0,0,0
TiagodosSantoseSilva,155.0,69.0,68,19.0,4.0,0,0
JakeMatthews,155.0,71.0,75,11.0,1.0,0,0
JohnnyCase,155.0,73.0,70,22.0,5.0,0,0
PiotrHallmann,155.0,69.0,70,15.0,5.0,0,0
AlexOliveira,155.0,71.0,77.0,13.0,2.0,0,0
AugustoMendes,145.0,66.0,67.0,6.0,2.0,0,0
FrankieSaenz,135.0,66.0,71,11.0,5.0,0,0
BrianOrtega,145.0,69.0,67,9.0,0.0,0,0
MikedelaTorre,155.0,72.0,75,12.0,5.0,0,0
ShawnJordan,260.0,72.0,72,17.0,6.0,0,0
JaredCannonier,265.0,75.0,76,7.0,1.0,0,0
DrewDober,170.0,68.0,76,15.0,7.0,0,0
EfrainEscudero,155.0,70.0,71.0,25.0,9.0,0,0
CharlesRosa,145.0,69.0,72,10.0,2.0,0,0
YairRodriguez,145.0,71.0,73,6.0,1.0,0,0
RonaldoSouza,185.0,73.0,74.0,24.0,5.0,0,0
RobertWhittaker,170.0,72.0,77,20.0,4.0,0,0
JamesVick,155.0,75.0,75,8.0,0.0,0,0
NickHein,155.0,68.0,74,11.0,3.0,0,0
DonaldCerrone,155.0,72.0,73.0,27.0,6.0,0,0
MylesJury,155.0,71.0,73.0,15.0,1.0,0,0
ToddDuffee,260.0,75.0,78.0,9.0,3.0,0,0
FrankMir,264.0,75.0,79.0,18.0,9.0,0,0
KhalilRountree,205.0,73.0,67,5.0,1.0,0,0
AndrewSanchez,205.0,72.0,74,9.0,2.0,0,0
RyanJimmo,205.0,74.0,74,18.0,3.0,0,0
SeanO'Connell,205.0,73.0,77,15.0,4.0,0,0
FabioMaldonado,205.0,73.0,75.0,22.0,9.0,0,0
CoreyAnderson,205.0,75.0,77,8.0,1.0,0,0
DanielCormier,205.0,71.0,71.0,13.0,0.0,0,0
RashadEvans,205.0,71.0,75.0,19.0,3.0,0,0
VincPichel,155.0,70.0,71,10.0,1.0,0,0
DamienBrown,155.0,70.0,70.0,17.0,10.0,0,0
JakeEllenberger,170.0,70.0,73.0,29.0,7.0,0,0
RobbieLawler,170.0,71.0,74.0,22.0,10.0,0,0
AlessandroRicci,155.0,71.0,76,10.0,5.0,0,0
PaulFelder,155.0,70.0,72,13.0,3.0,0,0
SaraMcMann,135.0,66.0,74,7.0,0.0,0,0
RondaRousey,135.0,67.0,66.0,8.0,0.0,0,0
LuizDutra,170.0,71.0,77,11.0,3.0,0,0
KiichiKunimoto,170.0,70.0,70,16.0,5.0,0,0
PeggyMorgan,135.0,73.0,67,2.0,1.0,0,0
JessamynDuke,135.0,71.0,69,3.0,0.0,0,0
JamesTe-Huna,205.0,74.0,75.0,16.0,7.0,0,0
MauricioRua,205.0,73.0,76.0,22.0,8.0,0,0
SantiagoPonzinibbio,170.0,72.0,73,25.0,3.0,0,0
NordineTaleb,185.0,73.0,71,12.0,4.0,0,0
KatsunoriKikuno,155.0,67.0,70,22.0,5.0,0,0
QuinnMulhern,155.0,75.0,67,18.0,4.0,0,0
MattMitrione,265.0,75.0,82.0,8.0,3.0,0,0
DerrickLewis,246.0,75.0,69,11.0,3.0,0,0
RuslanMagomedov,242.0,77.0,72,13.0,1.0,0,0
JoshCopeland,245.0,73.0,72,9.0,1.0,0,0
RossPearson,155.0,68.0,69.0,21.0,12.0,0,0
WillBrooks,155.0,71.0,75,18.0,1.0,0,0
SoaPalelei,265.0,76.0,67,21.0,3.0,0,0
JaredRosholt,259.0,74.0,74,10.0,1.0,0,0
YvesJabouin,135.0,66.0,68.0,20.0,10.0,0,0
ThomasAlmeida,135.0,67.0,72,19.0,0.0,0,0
ThiagoTavares,145.0,67.0,70.0,24.0,6.0,0,0
ClayGuida,145.0,67.0,68.0,32.0,13.0,0,0
MikePierce,170.0,68.0,70.0,17.0,7.0,0,0
RyanLaFlare,170.0,72.0,68,12.0,1.0,0,0
AkbarhArreola,155.0,70.0,71,23.0,8.0,0,0
YvesEdwards,155.0,69.0,73.0,42.0,22.0,0,0
SamSicilia,145.0,68.0,74,15.0,8.0,0,0
GavinTucker,145.0,67.0,69,10.0,0.0,0,0
JakeEllenberger,170.0,70.0,73.0,31.0,12.0,0,0
JorgeMasvidal,155.0,71.0,73.0,32.0,11.0,0,0
MaximoBlanco,145.0,68.0,75,12.0,8.0,0,0
